Enregistrement de la trajectoire y(x) du mobile
distance (m) altitude (m)
        0.00,        0.15
        2.05,        1.19
        4.10,        3.50
        6.15,        4.44
        8.21,        6.22
       10.26,        7.02
       12.31,        8.79
       14.36,        9.48
       16.41,       11.06
       18.46,       10.91
       20.51,       12.12
       22.56,       13.44
       24.62,       13.39
       26.67,       14.46
       28.72,       15.39
       30.77,       15.18
       32.82,       16.48
       34.87,       14.76
       36.92,       15.24
       38.97,       15.19
       41.03,       14.42
       43.08,       13.13
       45.13,       13.34
       47.18,       11.56
       49.23,       10.79
       51.28,       10.40
       53.33,        7.80
       55.38,        4.45
       57.44,        1.42
